Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,Postes demandés 
,Doolin's Irish Pub Ltd.,"Vancouver, BC V6B 6K4",631-Directeurs de la restauration et des services alimentaires,1
,D'oro Gelato e Caffe Ltd,"Vancouver, BC V6E 2N7","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Douglas Lake Cattle Co.,"Douglas Lake, BC V0E 1S0","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Dr. Murray Hurlbert Optometric Corporation,"Pitt Meadows, BC V3Y 1N2",3237-Autre personnel technique en thérapie et en diagnostic,1
,Dr. Sheu Chiropractic Inc.,"Burnaby, BC V5C 2J4",3142-Physiothérapeutes,2
,Dr. Shin Dental Corporation,"Coquitlam, BC V3K 3V8",1414-Réceptionnistes,1
,Dragon Lotus Restaurant Ltd,"Peachland, BC V0H 1X7",6322-Cuisiniers,1
,Dragon S. Holdings Ltd.,"Burnaby, BC V5C 4B1",6322-Cuisiniers,1
,Driediger Farms Ltd,"Langley, BC V1M 3P8",8431-Ouvriers agricoles,20
,DSKR Enterprise Inc,"Penticton, BC V2A 1H1",6322-Cuisiniers,1
,Dunbar Masonry & Construction Ltd.,"Richmond, BC V6V 2H9",7281-Briqueteurs-maçons,1
,Dynamic Asphalt Services Inc.,"Sorrento, BC V0E 2W1",7621-Manoeuvres à l'entretien des travaux publics,1
,E.S. Auto Sales Ltd.,"Delta, BC V4C 3W1",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,Earls Restaurant (Kingsway) Ltd.,"Burnaby, BC V5H 1Z9",6322-Cuisiniers,1
,East Van Pizza,"Vancouver, BC V5N 1B1",6311-Superviseurs des services alimentaires,1
,Element Homes Inc.,"Fernie, BC V0B 1M0",7611-Aides de soutien des métiers et manoeuvres en construction,1
,Elite Child Care Inc o/a Daycare Plus Child Development Centre,"West Vancouver, BC V7V 1S4",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Elite Wealth Advisors Inc.,"Richmond, BC V6X 1X5",1221-Agents d'administration,1
,EM Beautician  School of Canada,"Coquitlam, BC V3K 3V9",1223-Agents des ressources humaines et de recrutement,1
,Emmanuel's House of Dosas Inc,"Vancouver, BC V5V 3E3",6322-Cuisiniers,1
,End of the Road Coffee Company,"Hagensborg, BC V0T 1B0","9461-Opérateurs de machines et de procédés industriels dans la transformation des aliments, des boissons et des produits connexes",1
,England Holdings Ltd.,"Revelstoke, BC V0E 2S0",6315-Surveillants des services de nettoyage,1
,Envirosafe Janitorial Inc,"Surrey, BC V3W 1A2",6315-Surveillants des services de nettoyage,1
,Envision Transport Ltd,"Surrey, BC V3R 2S8",7511-Conducteurs de camions de transport,10
,Euroline Plumbing & Lighting Inc,"Surrey, BC V3W 3B2",6221-Spécialistes des ventes techniques - commerce de gros,1
,Europe Lock & Key Ltd.,"North Vancouver, BC V7M 1A2","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Europhil Fabrication & Machining Corp.,"Langley, BC V2Y 1N1",7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques,1
,Eurosa Farms Ltd,"Brentwood Bay, BC V8M 1J6",8432-Ouvriers de pépinières et de serres,3
,Eurostyle Construction Ltd.,"Langley, BC V3A 3A7",7271-Charpentiers-menuisiers,4
,Everest Indian & Nepaleas Cuisine Ltd,"West Kelowna, BC V4T 1Y9",6322-Cuisiniers,2
,EVL Nursery Ltd,"Langley, BC V2Y 2M2",8432-Ouvriers de pépinières et de serres,5
,Excel Biomechanics Laboratories Ltd,"Vancouver, BC V6P 6R5",621-Directeurs - commerce de détail et de gros,1
,Extra Mile Hospitality Inc,"Victoria, BC V8V 1W9",6311-Superviseurs des services alimentaires,1
,Fabwell Industries Inc.,"Delta, BC V4G 1B5",7235-Assembleurs et ajusteurs de plaques et de charpentes métalliques,6
,Fair Trade Works Ltd.,"Vancouver, BC V6P 3G2",7271-Charpentiers-menuisiers,1
,Fairway Recycle Group Inc.,"Burnaby, BC V5E 3C7",7302-Entrepreneurs et contremaîtres des équipes d'opérateurs d'équipement lourd,2
,Falcon Heights Contracting Ltd,"Victoria, BC V9B 6H6",7271-Charpentiers-menuisiers,1
,Farid Hospitality Inc.,"Osoyoos, BC V0H 1V5",6322-Cuisiniers,1
,Ferguson Point Restaurant Inc,"Vancouver, BC V6G 3E2",6322-Cuisiniers,1
,Fibretech Distributors Inc.,"Surrey, BC V3W 7X4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2
,FigTree Ventures Inc.,"Burnaby, BC V5C 6P3",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Filmgroup TV Ltd.,"Vancouver, BC V6A 1Z6","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,Fine Signs Ltd.,"Surrey, BC V3W 1B3",5241-Designers graphiques et illustrateurs,1
,FIOSA Food Industry Occupational Safety Association,"Chilliwack, BC V2R 1E3","2263-Inspecteurs de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",1
,Fir Stone Inc,"Richmond, BC V6V 1K4",6222-Acheteurs des commerces de détail et de gros,1
,Fitness Town Vancouver,"Vancouver, BC V5X 4K4",6421-Vendeurs - commerce de détail,1
,Five Elements Cafe Ltd.,"Vancouver, BC V5L 3W9",6321-Chefs,2
,Five Maples Nursery & Garden Centre Ltd,"Abbotsford, BC V3G 2K4","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",2
,Fix N' Go Auto Services Ltd.,"Surrey, BC V3W 2W1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Foneshop Communications Inc.,"Surrey, BC V3W 0X1",621-Directeurs - commerce de détail et de gros,1
,Forever Yours Plus Size Lingerie.LTD,"Langley, BC V3A 4G2",6222-Acheteurs des commerces de détail et de gros,1
,Fornax Holdings dba Cobs Bakery,"Vancouver, BC V6E 1N1",6332-Boulangers-pâtissiers,4
,Fraser Valley Stucco Ltd,"Delta, BC V4C 5T6",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,Fraser Valley Water Polo Club,"Langley, BC V1M 2M3",5252-Entraîneurs,1
,Fraserview Nursery Ltd,"Abbotsford, BC V4X 1K9",8432-Ouvriers de pépinières et de serres,1
,Frenz Filling Station Inc.,"Richmond, BC V6V 1B7",621-Directeurs - commerce de détail et de gros,1
,Fresh & Healthy Subs Ltd.,"Maple Ridge, BC V2X 8X2",6311-Superviseurs des services alimentaires,1
,Friendly Construction Ltd.,"Surrey, BC V3W 7B6",7204-Entrepreneurs et contremaîtres en charpenterie,1
,Fubuki Sushi,"Invermere, BC V0A 1K7",6321-Chefs,1
,Fuji Gardening Service Ltd.,"Vancouver, BC V5X 1N9","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Fung and Chin Management Ltd,"Gibsons, BC V0N 1V8",6311-Superviseurs des services alimentaires,2
,Fusion Plus Cuisine Inc.,"Vancouver, BC V6R 2B3",6311-Superviseurs des services alimentaires,1
,FW Francis Jewellers,"Victoria, BC V8W 1C9","5243-Ensembliers de théâtre, dessinateurs de mode, concepteurs d'expositions et autres concepteurs artistiques",1
,FX40 Building Design Corporation,"West Vancouver, BC V7V 1H9",2251-Technologues et techniciens en architecture,1
,G P Sandher Holdings Ltd.,"Kelowna, BC V1P 1C5",8431-Ouvriers agricoles,70
,G&K Excavation & Demolition Services Ltd.,"Vancouver, BC V5P 3Y7",7611-Aides de soutien des métiers et manoeuvres en construction,2
,Gateway Community Childcare Centre Society,"Surrey, BC V3T 4A6",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,GB Fit Inc,"Burnaby, BC V5H 2A1","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,GBL Architects Inc.,"Vancouver, BC V5T 1R8",5241-Designers graphiques et illustrateurs,2
,Gee N' Gee Importers Ltd.,"Vancouver, BC V6Z 1G3","6344-Bijoutiers, réparateurs de bijoux, horlogers-rhabilleurs et personnel assimilé",1
,Gevity Consulting Inc.,"Vancouver, BC V6B 5C6",1122-Professionnels des services-conseils en gestion aux entreprises,1
,Ghotra Excavating & Trucking Ltd.,"Surrey, BC V3W 2R9",7371-Grutiers,4
,Gians Restaurant Ltd,"Abbotsford, BC V2T 6G4",6322-Cuisiniers,2
,Gill & Sons Berryland Farms Ltd,"Surrey, BC V3Z 1E7",8431-Ouvriers agricoles,3
,Gill's Paradise Orchards,"Cawston, BC V0X 1C2",8431-Ouvriers agricoles,5
,Gillson Trucking Ltd.,"Abbotsford, BC V2T 6Y6",1241-Adjoints administratifs,1
,Ginqo Consulting Ltd,"North Vancouver, BC V7K 1W4",2174-Programmeurs et développeurs en médias interactifs,1
,Giv' Er Shirt Works Ltd.,"Fernie, BC V0B 1M0","9441-Opérateurs de machines et travailleurs de traitement des fibres et des fils textiles, du cuir et des peaux",1
,Global Digital Studios Limited,"Vancouver, BC V5Y 1N3",5222-Cadreurs de films et cadreurs vidéo,1
,Global Investments House Inc dba Greenbrier Hotel,"Vancouver, BC V6E 1C6",6525-Réceptionnistes d'hôtel,1
,Global Ivy Education Group Ltd.,"Vancouver, BC V6J 4R1",1221-Agents d'administration,1
,Glory Meat,"Surrey, BC V3T 1Y3","6331-Bouchers, coupeurs de viande et poissonniers - commerce de gros et de détail",1
,GM Solutions Inc,"Burnaby, BC V5C 6C6",6221-Spécialistes des ventes techniques - commerce de gros,1
,GN Concrete Pumping Ltd.,"Surrey, BC V3T 1E6",7236-Monteurs de charpentes métalliques,2
,Go Ha & Associates Ltd,"Burnaby, BC V3N 4R7",1311-Techniciens en comptabilité et teneurs de livres,1
,Go-Ebisu Enterprise Ltd.,"Abbotsford, BC V3G 1C4",6322-Cuisiniers,1
,Goh Ballet Inc.,"Vancouver, BC V5T 3C9",5134-Danseurs,1
,Golden Tripot Restaurant Limited,"Duncan, BC V9L 1N5",6321-Chefs,1
,Gongwell Services Incorporated,"Port Coquitlam, BC V3B 1A8",1222-Adjoints de direction,1
,Gopala Emporium Ltd,"Vancouver, BC V6B 2K7",621-Directeurs - commerce de détail et de gros,1
,Goraya  Family Farm,"Kelowna, BC V1W 4H4",8431-Ouvriers agricoles,4
,GPS Galaxy Pacific Services (2015) Ltd.,"Surrey, BC V3W 1K6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,GR8 Demolition & Excavation Ltd,"Surrey, BC V3S 6Z7",7312-Mécaniciens d'équipement lourd,2
,Graystone Enterprises Ltd.,"Sechelt, BC V0N 3A3",8611-Manoeuvres à la récolte,5
,Greater Vancouver Education Group Inc,"Surrey, BC V3R 8X2",1241-Adjoints administratifs,1
,Greek Nightz Kouzina & Grill Ltd.,"Surrey, BC V2S 1S8",6322-Cuisiniers,1
,Green Family International Development Inc. (dba) Orange Corner Crepes House,"Vancouver, BC V6M 2A3",6311-Superviseurs des services alimentaires,1
,Green field Delivery Service Ltd.,"Vancouver, BC V6G 1C7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Green Mountain Jade Inc.,"Richmond, BC V6X 3A5",6211-Superviseurs des ventes - commerce de détail,1
,Greg Gardner Motors Ltd.,"Squamish, BC V8B 0A3","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Group Inc.,"Vancouver, BC V6B 5C6",1411-Employés de soutien de bureau généraux,1
,GSB Enterprises Ltd.,"Saanichton, BC V8M 2B7",6311-Superviseurs des services alimentaires,3
,Guangson Education Group Ltd.,"Burnaby, BC V5H 2A9",4033-Conseillers en information scolaire,2
,Guardian Aerospace Holdings Inc.,"Vanderhoof, BC V0J 3A0",7315-Mécaniciens et contrôleurs d'aéronefs,2
,Guild Enterprises Ltd.,"Vancouver, BC V6Z 1G3",6341-Coiffeurs et barbiers,1
,Guildford Hotel Ltd,"Surrey, BC V4N 5C2",6525-Réceptionnistes d'hôtel,1
,Gurdev Gill and Sons Farm,"Abbotsford, BC V2T 5X6",8431-Ouvriers agricoles,6
,Gurdev Thandi and Sons Ltd,"Abbotsford, BC V4X 2M6",8431-Ouvriers agricoles,6
,H Anmol Sweets & Restaurant Ltd.,"Surrey, BC V3W 4G1",6322-Cuisiniers,2
,HAL Industries Inc.,"Surrey, BC V4N 3N3","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",1
,Hal Systems Inc.,"Victoria, BC V8V 1B3",1241-Adjoints administratifs,1
,Hamada Japanese Restaurant Ltd.,"Maple Ridge, BC V2X 0L4",6322-Cuisiniers,1
,Han Yang Rice Cake & Food Inc.,"Coquitlam, BC V3K 3V9",6332-Boulangers-pâtissiers,2
,Hans Global Enterprises Ltd.,"Cranbrook, BC V1C 1A6",6322-Cuisiniers,2
,Hanson International Education & Employment Services Ltd.,"New Westminster, BC V3M 6B9",1221-Agents d'administration,1
,Hapa Landscape Architecture Collaborative Inc.,"Vancouver, BC V5Y 1J6",2152-Architectes paysagistes,1
,Hapa Yaletown Investments Ltd. dba Hapa Izakaya Restaurant,"Vancouver, BC V6K 2M4",6322-Cuisiniers,2
,Harbour Publishing Co. LTD,"MAdeira Park, BC V0N 2H0",5241-Designers graphiques et illustrateurs,1
,Hare Motors Ltd,"Surrey, BC V3W 2V9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",2
,Haven Apparel Inc.,"Vancouver, BC V6A 1K2",5221-Photographes,1
,Hawk Technologies Ltd,"Port Moody, BC V3H 2B4",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,HDC Enterprises Ltd.,"Vancouver, BC V6Z 2R6",6322-Cuisiniers,1
,Herald Language College,"Coquitlam, BC V3K 3P5",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,High Class Richard Hair Ltd,"Coquitlam, BC V3B 0G5",6341-Coiffeurs et barbiers,1
,Hillcrest Farm Market Inc.,"Kelowna, BC V1P 1B5",621-Directeurs - commerce de détail et de gros,1
,Hilltop Greenhouses Ltd,"Victoria, BC V9E 1H6",8432-Ouvriers de pépinières et de serres,5
,Hi-Tech Forming Ltd.,"Abbotsford, BC V3G 2Y1",711-Directeurs de la construction,1
,Holland Avenue Nursery Ltd,"Victoria, BC V8Z 5K2",8432-Ouvriers de pépinières et de serres,6
,Hollandia Greenhouses Ltd,"Pitt Meadows, BC V3Z 1Y1",8432-Ouvriers de pépinières et de serres,12
,Hollyburn Family Services,"West Vancouver, BC V7M 1A5",4212-Travailleurs des services sociaux et communautaires,2
,Honeybee Enterprises Ltd,"Surrey, BC V3S 7B1",821-Gestionnaires en agriculture,1
,Hong Ma No Restaurant Ltd.,"Surrey, BC V3R 4G8",6322-Cuisiniers,2
,Hotel Creston Ltd,"Creston, BC V0B 1G0",6322-Cuisiniers,1
,Hothead Games Inc.,"Vancouver, BC V6G 2T1",2174-Programmeurs et développeurs en médias interactifs,1
,HR Stucco and Renovation Ltd.,"Surrey, BC V3W 3G7","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",1
,HTO Seafood Ltd.,"Richmond, BC V6V 1N1",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,Huamulan Developments Inc.,"Richmond, BC V6X 3A5","4163-Agents de développement économique, recherchistes et experts-conseils en marketing",1
,Iberdrola Energy Projects Canada Corporation,"Vancouver, BC V6B 4N7",711-Directeurs de la construction,1
,IBII Construction Inc.,"Vancouver, BC V5K 2T2",1225-Agents aux achats,1
,Ideal Canopy Tent & Structure Ltd,"Delta, BC V4G 1B5",7237-Soudeurs et opérateurs de machines à souder et à braser,2
,Illen Products Ltd.,"Richmond, BC V6W 1J8",6221-Spécialistes des ventes techniques - commerce de gros,1
,Immark International Service Ltd.,"Richmond, BC V6Y 3Z8",1224-Agents de gestion immobilière,1
,Incomax Enterprises Ltd,"Surrey, BC V3R 9P4",6322-Cuisiniers,1
,India Bistro Ltd,"Vancouver, BC V6E 1N2",631-Directeurs de la restauration et des services alimentaires,1
,Indian Bombay Bistro Ltd.,"Burnaby, BC V3N 3M3",6322-Cuisiniers,1
,Indian Fusion Restaurant Ltd.,"North Vancouver, BC V7M 2K4",6322-Cuisiniers,1
,Infospec Systems Inc.,"Richmond, BC V6X 4E1",1311-Techniciens en comptabilité et teneurs de livres,1
,Inovatec Systems Corporation,"Burnaby, BC V5C 6A7",2173-Ingénieurs et concepteurs en logiciel,1
,Instylin Beautique Ltd.,"Vancouver, BC V5Z 1R2",6211-Superviseurs des ventes - commerce de détail,2
,Interior Health Authority,"Kelowna, BC V1Y 4N7",2241-Technologues et techniciens en génie électronique et électrique,1
,International Fastline Forwarding Inc.,"Richmond, BC V7B 1K5","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,International Loss Prevention Systems Corp,"Surrey, BC V3V 4G1",114-Directeurs d'autres services administratifs,1
,Invitation Restaurant Ltd.,"North Vancouver, BC V7M 1E7",6322-Cuisiniers,1
,Isaac Concrete Services Inc.,"Vancouver, BC V5R 4B2",7282-Finisseurs de béton,1
,Isidore Landscapes Inc.,"Richmond, BC V6V 1M3","8255-Entrepreneurs et superviseurs des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",1
,Istuary Innovation Labs Inc.,"Vancouver, BC V6Z 2K8",213-Gestionnaires des systèmes informatiques,2
,Italian Cultural Centre Society,"Vancouver, BC V5M 3E4",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,2
,J & D Gourmet Cafes Ltd,"Surrey, BC V3V 1Z2",6311-Superviseurs des services alimentaires,1
,J & J Framing Ltd.,"Abbotsford, BC V2T 5W3",7204-Entrepreneurs et contremaîtres en charpenterie,1
,J.F. Deng Enterprises Ltd,"Victoria, BC V9B 2W4",6322-Cuisiniers,1
,J.J. Spa Plus Family Spa Ltd,"Coquitlam, BC V3C 2M2",6315-Surveillants des services de nettoyage,1
,J.W. Projects Ltd.,"Osoyoos, BC V0H 1V0",6322-Cuisiniers,2
,Jaapji Contracting Ltd,"Surrey, BC V3V 1H8",7271-Charpentiers-menuisiers,1
,Jagged Edge Enterprises Ltd.,"Abbotsford, BC V2T 3S4",7511-Conducteurs de camions de transport,4
,Jas Auto Repairs Ltd,"Surrey, BC V3W 4M8",1431-Commis à la comptabilité et personnel assimilé,1
,Jassal Food Inc,"Coquitlam, BC V3K 6G9",6311-Superviseurs des services alimentaires,1
,Jay & Jen Foods,"Abbotsford, BC V3G 0C1",6322-Cuisiniers,1
,JC Nails Limited,"West Vancouver, BC V7T 1H9",1211-Superviseurs de commis de bureau et du personnel de soutien administratif,2
,JCC Hospitality Ltd.,"Coquitlam, BC V3K 3P5",6322-Cuisiniers,1
,JCL Event Company Ltd O/A We Do Weddings Etc,"Vancouver, BC V6J 1G1",5241-Designers graphiques et illustrateurs,1
,JDH Eco-Service Ltd.,"Vancouver, BC V5Y 1E9","15-Cadres supérieurs - commerce, radiotélédiffusion et autres services, n.c.a.",1
,JDhillon Enterprises Ltd,"Surrey, BC V3X 1X2",6211-Superviseurs des ventes - commerce de détail,1
,Jedway Enterprises Ltd,"Surrey, BC V3Z 3M3","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,Jet Marketing Inc,"Port Coquitlam, BC V3B 1T3",6322-Cuisiniers,1
,Jiade International Trading Ltd.,"Victoria, BC V7P 2P6",6322-Cuisiniers,1
,JMG CARRIER LTD,"Surrey, BC V3W 3E8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Joman Enterprise Ltd.,"Vancouver, BC V5P 1M9",7236-Monteurs de charpentes métalliques,1
,Jorissa Investments Inc.,"North Vancouver, BC V7J 2H5",6322-Cuisiniers,3
,Josan Trucking Ltd,"Surrey, BC V3V 1E4",7511-Conducteurs de camions de transport,3
,JR Furniture Place Ltd,"Surrey, BC V3W 2N5",6211-Superviseurs des ventes - commerce de détail,1
,Jspa Studio Corp.,"Vancouver, BC V6H 3K2","6562-Esthéticiens, électrolystes et personnel assimilé",1
,Jubilee Hair Ltd.,"Coquitlam, BC V3B 0J5",6341-Coiffeurs et barbiers,1
,Juke Box Print Inc.,"Vancouver, BC V5Y 1G4",2175-Concepteurs et développeurs Web,1
,Jun Investment Inc,"Sidney, BC V8L 1W9",6322-Cuisiniers,1
,Just Dial Communications Inc.,"North Vancouver, BC V7P 3T2",1221-Agents d'administration,1
,JVLee Enterprise Inc.,"Vancouver, BC V5W 2Z9",6322-Cuisiniers,8
,Kaashi Foods Ltd,"Surrey, BC V4A 7Z7",6311-Superviseurs des services alimentaires,1
,Kang & Choi Enterprise Ltd.,"Richmond, BC V7A 1W6",6322-Cuisiniers,1
,Kapra Mandi Ltd.,"Surrey, BC V3W 1R1",1311-Techniciens en comptabilité et teneurs de livres,2
,Katana Japanese Restaurant,"Langley, BC V2Y 1A7",6311-Superviseurs des services alimentaires,1
,Katies Korner Childcare Ltd.,"Nanaimo, BC V9S 3C3",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,KBF Enterprises Inc,"Abbotsford, BC V3G 2R6",8431-Ouvriers agricoles,19
,Kennen Construction Inc.,"Vancouver, BC V5X 4V9",7271-Charpentiers-menuisiers,1
,Kettle Valley Moulding & Millwork,"Kelowna, BC V1X 4A4",7272-Ébénistes,1
,Khai Thai Cuisine Corp. dba Khai Thai Cuisine,"Port Coquitlam, BC V3C 0A4",6322-Cuisiniers,1
,Khaira Farms Ltd,"Abbotsford, BC V3G 2R4",8431-Ouvriers agricoles,5
,Khalis Transport Inc,"Surrey, BC V3W 9H9",7511-Conducteurs de camions de transport,10
,Khanna International Trading Ltd,"Richmond, BC V6V 1W3","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,Khun Khun Farm Ltd,"Vernon, BC V1H 1W9",8431-Ouvriers agricoles,2
,Ki Sook Li  o/a Ceci  Hair Club,"Surrey, BC V3R 6N7",6341-Coiffeurs et barbiers,1
,Kim & Kwak Co. Ent. Ltd,"Chilliwack, BC V2R 3C7",6322-Cuisiniers,2
,Kim's Family Enterprises Ltd,"Surrey, BC V4A 2H9",6322-Cuisiniers,2
,Kim's Farm,"Surrey, BC V3Z 1C3",8431-Ouvriers agricoles,8
,Kings Auto Spa Ltd,"Richmond, BC V6X 2C3","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,Kinjou ltd,"Vancouver, BC V5Y 1P6",621-Directeurs - commerce de détail et de gros,1
,Kirat Framing Ltd,"Surrey, BC V3W 2Y2",7271-Charpentiers-menuisiers,1
,Kita Japanese Restaurant,"Chilliwack, BC V2R 5V6",6322-Cuisiniers,1
,Kitanoya Marketing Corp,"Vancouver, BC V5R 5L5",6321-Chefs,1
,KKM Construction Ltd.,"Surrey, BC V3T 2K6","7284-Plâtriers, poseurs et finisseurs de systèmes intérieurs et latteurs",3
,KLC Enterprises Ltd.,"Vancouver, BC V6H 1G7",6311-Superviseurs des services alimentaires,1
,Kobe Express Inc.,"Vancouver, BC V6E 1A3",6311-Superviseurs des services alimentaires,1
,Kohaly Printing & Bindery Ltd,"Surrey, BC V3W 2V3",911-Directeurs de la fabrication,1
,Korex Logistics Canada Ltd,"Delta, BC V4G 1K7",114-Directeurs d'autres services administratifs,1
,Krishnas Dosa Grill Ltd.,"Surrey, BC V3V 4B4",6322-Cuisiniers,2
,KUKJ International Auto,"Coquitlam, BC V3K 3V8","124-Directeurs de la publicité, du marketing et des relations publiques",1
,Kum Bo Chan Farm,"Richmond, BC V6V 1A5",8431-Ouvriers agricoles,3
,Kuma Restaurant Group Inc.,"Vancouver, BC V5Y 0C2",631-Directeurs de la restauration et des services alimentaires,1
,Kumare Kafe and Bakery Inc.,"Richmond, BC V6Y 1T1",6322-Cuisiniers,2
,Kung Jung Korean Restaurant Ltd.,"Burnaby, BC V5E 1E5",6311-Superviseurs des services alimentaires,1
,L&P Construction,"Surrey, BC V4N 5N5",7271-Charpentiers-menuisiers,1
,La Belle Christine's Hair Ltd.,"Burnaby, BC V3J 1N3",6341-Coiffeurs et barbiers,1
,La Casa Ouzeria Restaurant (1999) Ltd,"Penticton, BC V2A 5E5",6322-Cuisiniers,1
,La Dolce Vita Restaurant Ltd,"Hope, BC V0X 1L0",6311-Superviseurs des services alimentaires,1
,Lahoo Information Development Ltd,"Burnaby, BC V5J 3J1","5227-Personnel de soutien du cinéma, de la radiotélédiffusion, de la photographie et des arts de la scène",1
,Lalli Development (2011) Ltd.,"Richmond, BC V6W 1C8",7312-Mécaniciens d'équipement lourd,1
,Lally Framing Ltd.,"Surrey, BC V3W 0Z1",7271-Charpentiers-menuisiers,4
,LB Plumbing Ltd,"Port Coquitlam, BC V3B 3E1",7251-Plombiers,1
,Legend House Chinese Restaurant Inc.,"Coquitlam, BC V3B 0J1",631-Directeurs de la restauration et des services alimentaires,1
,Lexor Management Inc,"North Vancouver, BC V7P 1T6",6315-Surveillants des services de nettoyage,1
,LHJH Holdings Ltd,"Nanaimo, BC V9T 0G6",6322-Cuisiniers,1
,Lidder Investment Inc dba River Rock Pub & Restaurant,"Quesnel, BC V2J 1X1",6322-Cuisiniers,1
,Limpark Investment Ltd.,"Burnaby, BC V3N 4N3","651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,Little Hands Child Care Inc.,"Victoria, BC V8W 1B1",4214-Éducateurs et aides-éducateurs de la petite enfance,1
,Little Saigon Vietnamese Cuisine (2012) Ltd.,"Abbotsford, BC V2S 2H2",6311-Superviseurs des services alimentaires,1
,Little Techie Shop Ltd.,"Surrey, BC V3W 1R1",2174-Programmeurs et développeurs en médias interactifs,1
,Livart Furniture Canada Co. Ltd.,"Richmond, BC V6V 0A6",2252-Designers industriels,1
,Livingspace Interiors Ltd.,"Vancouver, BC V6J 0E4","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,LMDG Building Code Consultants Ltd.,"Vancouver, BC V6B 2M1",2251-Technologues et techniciens en architecture,1
,Loaf Real Honest Bread Ltd.,"Fernie, BC V0B 1M0",6311-Superviseurs des services alimentaires,1
,Longan Construction Ltd,"Victoria, BC V8P 5R1",7281-Briqueteurs-maçons,1
,Looks Unlimited Salon dba Pink Lime Salon and Spa,"Vancouver, BC V6B 2S2",6341-Coiffeurs et barbiers,1
,Lorcon Industries Ltd.,"Fort St John, BC V1J 1Z3",6341-Coiffeurs et barbiers,3
,LTP Sports Group Inc,"Port Coquitlam, BC V3C 6L3",6221-Spécialistes des ventes techniques - commerce de gros,1
,Luck Restaurants Ltd.,"Invermere, BC V0A 1K0",6322-Cuisiniers,1
,Lucky Eight Enterprises Ltd,"Vancouver, BC V5V 3C2",6211-Superviseurs des ventes - commerce de détail,1
,Lulu Island Winery Ltd,"Richmond, BC V6V 1A8",6211-Superviseurs des ventes - commerce de détail,2
,LV Pharmacy Ltd.,"North Vancouver, BC V7J 2A2",3219-Autres technologues et techniciens des sciences de la santé (sauf soins dentaires),1
,Lysias Enterprises (Canada) (2006) Ltd.,"Richmond, BC V6V 0A4",6311-Superviseurs des services alimentaires,1
,M & A Greenhouse Services Ltd.,"Abbotsford, BC V2T 4H7","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,M & J Dhaliwal Green Acres Vegetable Farm Ltd o/a Dhaliwal Green Acres Farms,"Kamloops, BC V2H 1T8","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,M.E. Mediatech Corp.,"Richmond, BC V6V 2X7",2174-Programmeurs et développeurs en médias interactifs,1
