"Employers who were Issued a Positive Labour Market Impact Assessment (LMIA) by Stream, National Occupational Classification (NOC) 2011 and Business Location in 2020 (October-December)",b,c,d,e,f
British Columbia,    High Wage,Hussain Retail Group Inc.,"Surrey, BC V3S 9S6",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Hussain Retail Group Inc.,"Surrey, BC V3S 9S6",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,HV GARMENTS LTD,"Vancouver, BC V5X 2N6","6342-Tailors, dressmakers, furriers and milliners",2
British Columbia,    High Wage,IBG Mechanical Ltd,"Richmond, BC V6X 2S5",7251-Plumbers,2
British Columbia,    High Wage,IBS Construction Ltd,"Surrey, BC V3W 7W3",7271-Carpenters,1
British Columbia,    High Wage,IC Expert Painting Ltd,"Prince George, BC V2M 7A5",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,Ideal Drywall Ltd.,"Surrey, BC V3W 3A8",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Idea's Drywall Ltd,"Delta, BC V4E 1W9","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,IGate Technology Inc.,"Surrey, BC V3S 8A5",2173-Software engineers and designers,1
British Columbia,    High Wage,IGS Electric Ltd.,"Surrey, BC V3W 3E9",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,IJJ Hospitality Corp,"Langley, BC V2Y 1S6",6315-Cleaning supervisors,1
British Columbia,    High Wage,Ikon Insulation Ltd.,"Surrey, BC V3W 4G4",7271-Carpenters,1
British Columbia,    High Wage,Ikon Ventures Inc.,"Surrey, BC V3Z 1N1",7271-Carpenters,2
British Columbia,    High Wage,IM Concrete Finishing Services Ltd,"North Vancouver, BC V7P 1T4",7282-Concrete finishers,1
British Columbia,    High Wage,Imasco Minerals Inc.,"Surrey, BC V4N 4C8","9232-Petroleum, gas and chemical process operators",1
British Columbia,    High Wage,Immigration Consultants Group Canada Inc.,"NORTH VANCOUVER, BC V7P 1V7",1242-Legal administrative assistants,1
British Columbia,    High Wage,Impact Truck Centre Ltd,"Prince Rupert, BC V8J 3S1","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
British Columbia,    High Wage,Imperial Grand Forks Holdings Inc.,"Grand Forks, BC V0H 1H0",6315-Cleaning supervisors,1
British Columbia,    High Wage,Industrial Light & Magic (Vancouver) Inc.,"Vancouver, BC V6B 1A1",5241-Graphic designers and illustrators,8
British Columbia,    High Wage,Ingenius Prep Educational Consulting ULC,"Vancouver, BC V6J 1Y6",0125-Other business services managers,1
British Columbia,    High Wage,Inhwa Investment Ltd.,"Burnaby, BC V3N 4R7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Inno Foods Inc.,"Coquitlam, BC V3K 7C2","9213-Supervisors, food, beverage and associated products processing",1
British Columbia,    High Wage,Innoprocon Consulting Inc.,"Surrey, BC V3W 1A4",2171-Information systems analysts and consultants,1
British Columbia,    High Wage,INSTANT DRYWALL LTD.,"Surrey, BC V3W 1L7",7611-Construction trades helpers and labourers,2
British Columbia,    High Wage,Interior To Lower Mainland Holdings Inc DBA Opa Souvlaki of Greece,"Surrey, BC V3T 2W1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,INTERMOUNTAIN TRUCKING LTD,"Surrey, BC V4N 0J1",7511-Transport truck drivers,1
British Columbia,    High Wage,Intra Pacific Ventures Limited,"Kamloops, BC V2H 1M5",7282-Concrete finishers,1
British Columbia,    High Wage,IonaWorks Technologies Inc.,"Vancouver, BC V6T 0A5","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,IoT Pay Technologies Inc.,"Burnaby, BC V5J 5G4",2175-Web designers and developers,1
British Columbia,    High Wage,IRL Construction Ltd,"Vancouver, BC V5Z 4B2",7271-Carpenters,8
British Columbia,    High Wage,ISHER TRANSPORT LTD,"MISSION, BC V2V 3V1",7511-Transport truck drivers,6
British Columbia,    High Wage,Isidore Landsapes Inc,"Richmond, BC V6V 1M3",7271-Carpenters,1
British Columbia,    High Wage,Italian Spirit Design and Landscape Inc,"North Vancouver, BC V7M 3J9","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,ITM TRUCKING LTD.,"PRINCE GEORGE, BC V2N 1L7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,J & J FRAMING LTD.,"ABBOTSFORD, BC V2T 1S3",1221-Administrative officers,1
British Columbia,    High Wage,J & J FRAMING LTD.,"ABBOTSFORD, BC V2T 1S3","7204-Contractors and supervisors, carpentry trades",2
British Columbia,    High Wage,J & J FRAMING LTD.,"ABBOTSFORD, BC V2T 1S3",7271-Carpenters,3
British Columbia,    High Wage,J & J FRAMING LTD.,"ABBOTSFORD, BC V2T 1S3",7611-Construction trades helpers and labourers,3
British Columbia,    High Wage,J J ROYALTY PAINTING & DECORATING LTD.,"Surrey, BC V3R 4G5",7294-Painters and decorators (except interior decorators),2
British Columbia,    High Wage,J Kam Auto Repair Ltd,"Surrey, BC V3W 1M4","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
British Columbia,    High Wage,J Singh Construction Ltd.,"Surrey, BC V3V 5R2",7271-Carpenters,1
British Columbia,    High Wage,J&D FARMERS DAIRY SERVICE LTD,"Abbotsford, BC V2S 7P1",7335-Other small engine and small equipment repairers,1
British Columbia,    High Wage,J.R. Electric Ltd.,"Surrey, BC V3V 6L3",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,J.S.G Dhillon Ltd.,"Langley, BC V3A 9J9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,J.T Construction Ltd,"Surrey, BC V3S 2Y5",7271-Carpenters,1
British Columbia,    High Wage,Jace Truck Lines Ltd,"Surrey, BC V3S 1X7",7511-Transport truck drivers,10
British Columbia,    High Wage,Jagpal & Bains Enterprises Inc.,"North Vancouver, BC V7P 1R3",1241-Administrative assistants,1
British Columbia,    High Wage,Jagpal & Bains Enterprises Inc.,"North Vancouver, BC V7P 1R3",3213-Animal health technologists and veterinary technicians,1
British Columbia,    High Wage,JAGROAN ENTERPRISES LTD.,"ABBOTSFORD, BC V2T 1V3",6322-Cooks,2
British Columbia,    High Wage,Jaguarr Auto Collision Ltd.,"Kelowna, BC V1X 2J8",7322-Motor vehicle body repairers,1
British Columbia,    High Wage,JANDA GROUP ASSET MANAGEMENT INC.,"DELTA, BC V4K 3N3",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Jas Mann Roofing and Waterproofing Inc,"surrey, BC V4N 1B7",7291-Roofers and shinglers,2
British Columbia,    High Wage,Jas Sewing Centre Inc.,"Surrey, BC V3W 3A6",6345-Upholsterers,1
British Columbia,    High Wage,JASIV ENTERPRISES LTD,"ABBOTSFORD, BC V4X 2C1",7511-Transport truck drivers,6
British Columbia,    High Wage,Jasper the Yoga Ninja Inc,"White Rock, BC V4B 3Z2",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,JD INSULATION LTD.,"Surrey, BC V3W 4E9",1221-Administrative officers,1
British Columbia,    High Wage,Jewel of India Restaurant Ltd,"White Rock, BC V4B 1C3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,JH&RN Tip Top Painting Ltd.,"Surrey, BC V3X 1C9",7294-Painters and decorators (except interior decorators),4
British Columbia,    High Wage,Jiva Manufacturing & Distributing Inc.,"Burnaby, BC V5J 5B9",4163-Business development officers and marketing researchers and consultants,1
British Columbia,    High Wage,JML Trading Company Ltd.,"Richmond, BC V7A 0A4",4163-Business development officers and marketing researchers and consultants,1
British Columbia,    High Wage,Joey Moon Ltd.,"Parksville, BC V9P 2H7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Johal Painting & Coating Ltd.,"Delta, BC V4C 1V4",7294-Painters and decorators (except interior decorators),2
British Columbia,    High Wage,JP Song Holdings Ltd,"Prince Rupert, BC V8J 1M9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,JPH TRANSPORT LTD,"ABBOTSFORD, BC V4X 1S3",1241-Administrative assistants,1
British Columbia,    High Wage,JPH TRANSPORT LTD,"ABBOTSFORD, BC V4X 1S3",7511-Transport truck drivers,3
British Columbia,    High Wage,JR DMR & Construction,"Richmond, BC V6V 2H9",0711-Construction managers,1
British Columbia,    High Wage,JUST GEORGE CLEANING AND MAINTENANCE INC.,"VANCOUVER, BC V5R 5G5",6315-Cleaning supervisors,2
British Columbia,    High Wage,JY SHINWOO CONSTRUCTION LTD.,"Victoria, BC V9C 0G9",7283-Tilesetters,2
British Columbia,    High Wage,K & H Framing Ltd.,"Surrey, BC V3V 6T5",7271-Carpenters,1
British Columbia,    High Wage,K & M Construction Ltd.,"Surrey, BC V3W 1H8",7251-Plumbers,2
British Columbia,    High Wage,K4 Construction Ltd.,"Cloverdale, BC V3S 1K4",7271-Carpenters,2
British Columbia,    High Wage,K4 Construction Ltd.,"Cloverdale, BC V3S 1K4","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,"Kabam Games, Inc.","Vancouver, BC V6E 1A5","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Kamal Landscaping & Gardening Ltd.,"Surrey, BC V3W 2H5","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",1
British Columbia,    High Wage,Kamloops Kitchen Studio Inc.,"Kamloops, BC V2C 5P3",7271-Carpenters,1
British Columbia,    High Wage,Kang & Choi Enterprises Ltd.,"Richmond, BC V7A 1W6",0631-Restaurant and food service managers,1
British Columbia,    High Wage,kang fresh food ltd,"Hope, BC V0X 1L0",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Kani Foundation Technologies Inc.,"Richmond, BC V6V 1H9",7312-Heavy-duty equipment mechanics,1
British Columbia,    High Wage,Kani Foundation Technologies Inc.,"Richmond, BC V6V 1H9","7372-Drillers and blasters - surface mining, quarrying and construction",1
British Columbia,    High Wage,KCH Consulting Services Inc.,"Coquitlam, BC V3B 2P5",0125-Other business services managers,1
British Columbia,    High Wage,Kellie's Film Services Ltd.,"Langley, BC V2Z 2W1",1241-Administrative assistants,1
British Columbia,    High Wage,Kelowna English Centre LTD.,"Kelowna, BC V1Y 6J6","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,Keyway Construction Ltd.,"Vancouver, BC V6E 1G2",7271-Carpenters,3
British Columbia,    High Wage,Key-West Asphalt (333) Ltd.,"Surrey, BC V3S 3C3",7612-Other trades helpers and labourers,2
British Columbia,    High Wage,Khatar Freshly Roasted Coffee Co. Ltd,"Burnaby, BC V3N 4V1","9213-Supervisors, food, beverage and associated products processing",1
British Columbia,    High Wage,Khosa Construction Ltd.,"Surrey, BC V3W 4M7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Kiddo Films Inc.,"Vancouver, BC V6A 0H1","5131-Producers, directors, choreographers and related occupations",1
British Columbia,    High Wage,Kids & Kids Costumes and Event Planning Ltd,"Coquitlam, BC V3B 2P5",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,King Alignment & Truck Repair Ltd.,"Surrey, BC V3W 0K8",1241-Administrative assistants,1
British Columbia,    High Wage,KING TRUCKING LTD,"Surrey, BC V3W 5V2",7511-Transport truck drivers,2
British Columbia,    High Wage,KOKKO Made Enterprise Inc.,"Richmond, BC V6X 4J7","5243-Theatre, fashion, exhibit and other creative designers",1
British Columbia,    High Wage,Kompass Natural Foods Limited,"Vancouver, BC V6H 1E2",0631-Restaurant and food service managers,1
British Columbia,    High Wage,KONDOLAS FURNITURE LTD.,"Smithers, BC V0J 2N0",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Krishna & Associates Advisors Inc,"Surrey, BC V3W 4E9",1221-Administrative officers,1
British Columbia,    High Wage,Krishna & Associates Advisors Inc,"Surrey, BC V3W 4E9",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,KRISHNAS' DOSA GRILL LTD.,"SURREY, BC V3V 4B4",6322-Cooks,2
British Columbia,    High Wage,KS Accounting Services Inc.,"ABBOTSFORD, BC V2T 1S3",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,K's Nails Ltd.,"Richmond, BC V6X 4G4","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,Kwong Fung Food Processing Factory Ltd,"Richmond, BC V6V 1P3",6314-Customer and information services supervisors,1
British Columbia,    High Wage,L.P.S.3 INDUSTRIES LTD,"DELTA, BC V4K 3N3",7511-Transport truck drivers,5
British Columbia,    High Wage,Laing Roofing Ltd.,"Kelowna, BC V1V 3C2",7291-Roofers and shinglers,1
British Columbia,    High Wage,Lakha Drywall Ltd.,"Surrey, BC V3W 2E5","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Lakhe Wale Jewellers Ltd.,"SURREY, BC V3W 0E6",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Lakhe Wale Jewellers Ltd.,"SURREY, BC V3W 0E6","6344-Jewellers, jewellery and watch repairers and related occupations",2
British Columbia,    High Wage,Lambda Industries Inc.,"Chilliwack, BC V2R 0G5",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Lavington Superette Ltd,"Vernon, BC V1B 3L9",6211-Retail sales supervisors,1
British Columbia,    High Wage,LETSAFE CONSULTING CANADA LTD.,"Vancouver, BC V6E  3C","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,LEVERAGE CONSTRUCTION,"SQUAMISH, BC V8B 0K6","7302-Contractors and supervisors, heavy equipment operator crews",1
British Columbia,    High Wage,Loadstream Trucking Inc.,"Burnaby, BC V5C 6C6","0016-Senior managers - construction, transportation, production and utilities",1
British Columbia,    High Wage,long long vacation ltd.,"RICHMOND, BC V6X 3Z8",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,LPT CONTRACTING LTD.,"Burnaby - BC, BC V3N 1P7",7283-Tilesetters,1
British Columbia,    High Wage,Lucky 6 International Industrial Co Ltd.,"Chilliwack, BC V2R 3W8","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Lucky20 Enterprises Ltd.,"Vancouver, BC V5K 4E1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,LULULEMON ATHLETICA CANADA INC.,"Vancouver, BC V6J 1C7",0113-Purchasing managers,1
British Columbia,    High Wage,Luso Concrete (2007) Ltd,"Maple Ridge, BC V2X 9J8",7521-Heavy equipment operators (except crane),2
British Columbia,    High Wage,Luxe Mink Lash Boutique Inc,"Vancouver, BC V6Z 1Z5","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,M & S Truck Repair Ltd.,"Surrey, BC V3S 1X7",7312-Heavy-duty equipment mechanics,1
British Columbia,    High Wage,M&J Mobile Rentals Inc.,"DELTA, BC V4G 1C6",2241-Electrical and electronics engineering technologists and technicians,1
British Columbia,    High Wage,M&N Drywall Ltd.,"Surrey, BC V3V 4N5","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,M.L. Mechanicals Ltd,"Burnaby, BC V5H 0E7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,M.S.D Electrical Ltd,"Surrey, BC V3X 0E4",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,M2 Cleaning Services Ltd.,"Burnaby, BC V5C  6C","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,Maceo Solutions Inc.,"Coquitlam, BC V3B 2P5",0213-Computer and information systems managers,1
British Columbia,    High Wage,Madahar Framing Ltd,"Delta, BC V4C 6Y2",7271-Carpenters,1
British Columbia,    High Wage,Madeleine(Hornby) Investments Ltd.,"Vancouver, BC V6Z 1S2",0631-Restaurant and food service managers,1
British Columbia,    High Wage,MagikMinds Inc.,"Burnaby, BC V5C 6C6",2173-Software engineers and designers,1
British Columbia,    High Wage,Mahalia Productions Ltd.,"Vancouver, BC V5L 1R2","5226-Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3
British Columbia,    High Wage,Maharaja Catering Ltd.,"Surrey, BC V3W 1R1",6322-Cooks,1
British Columbia,    High Wage,Mainland Communications Inc.,"Port Moody, BC V3H 5B9",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Mako Wood Furniture Inc.,"Surrey, BC V3W 2V9",7271-Carpenters,1
British Columbia,    High Wage,MANDER BROS ENTERPRISES LTD.,"Surrey, BC V3V 4G6",7511-Transport truck drivers,10
British Columbia,    High Wage,Mann Framing Ltd.,"Surrey, BC V3X 0B8",7271-Carpenters,1
British Columbia,    High Wage,Mann Pacific Homes Ltd.,"Surrey, BC V3S 2Z2","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
British Columbia,    High Wage,MAPLE LEAF DRYWALL LTD,"SURREY, BC V3W 2Z5","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,Mark Enterprises Ltd,"Surrey, BC V3W 0T1",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Maryam Wellness Inc.,"Vancouver, BC V6E 4P1","0014-Senior managers - health, education, social and community services and membership organizations",1
British Columbia,    High Wage,Masita Korean Cuisine Ltd.,"Burnaby, BC V5E 1C5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Massoud Holdings Ltd.,"Enderby, BC V0E 1V0",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Master Dental Solution Ltd.,"Vancouver, BC V6A 0H1","3223-Dental technologists, technicians and laboratory assistants",2
British Columbia,    High Wage,Matoi Sushi LTD.,"Coquitlam, BC V3B 6S2",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Maxim's Bakery Ltd.,"Vancouver, BC V6A 1X6",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,MAYURI INDIAN FOODS INC,"Surrey, BC V3W 3A6",6322-Cooks,2
British Columbia,    High Wage,MBS Enterprises Ltd. dba Panago Pizza,"Maple Ridge, BC V2X 7X7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,MCG Mcintosh Construction Group,"Coquitlam, BC V3J 5G9",7271-Carpenters,1
British Columbia,    High Wage,McGinn Engineeering & Preservation Ltd.,"Vancouver, BC V6B 1T6",2253-Drafting technologists and technicians,1
British Columbia,    High Wage,MDR Transportation Ltd.,"Abbotsford, BC V2T 5Z2",7511-Transport truck drivers,20
British Columbia,    High Wage,Mega Japanese Restaurant Ltd.,"Richmond, BC V7E 2Y4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Meiklejohn Architectural Design Studio Inc,"Penticton, BC V2A 1H2",2251-Architectural technologists and technicians,1
British Columbia,    High Wage,Melina Wellness Inc.,"West Vancouver, BC V7S 2J9","0014-Senior managers - health, education, social and community services and membership organizations",1
British Columbia,    High Wage,MEM Services Ltd.,"Richmond, BC V6V 0A8","7384-Other trades and related occupations, n.e.c.",1
British Columbia,    High Wage,MERCHANT GROWTH LTD.,"Vancouver, BC V6G 2Z6",6235-Financial sales representatives,1
British Columbia,    High Wage,METRO EXPRESS LTD,"Surrey, BC V3S 8M1",7511-Transport truck drivers,10
British Columbia,    High Wage,Metro Truck & Trailer Repair Ltd.,"Delta, BC V4G 1G6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
British Columbia,    High Wage,Metro Van Custom Homes Inc.,"Richmond, BC V6W 0A8",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Metro Van Custom Homes Inc.,"Richmond, BC V6W 0A8",7611-Construction trades helpers and labourers,3
British Columbia,    High Wage,METROFORM CONCRETE LTD.,"Vancouver, BC V6B 1H7",7271-Carpenters,1
British Columbia,    High Wage,MG Demolition LTD,"Richmond, BC V6V 2W9",7611-Construction trades helpers and labourers,5
British Columbia,    High Wage,Milani Plumbing Heating & Air Conditioning Ltd.,"Burnaby, BC V5H 2G2",7251-Plumbers,7
British Columbia,    High Wage,Milano Stone Inc.,"Abbotsford, BC V2S 7W8",7283-Tilesetters,1
British Columbia,    High Wage,Milos Greek Taverna Ltd.,"Harrison Hot Springs, BC V0M 1K0",6322-Cooks,2
British Columbia,    High Wage,Mindright Counselling & consultants Inc,"Richmond, BC V6V 1G3",1221-Administrative officers,1
British Columbia,    High Wage,Misty Blue Transport Ltd.,"Surrey, BC V3S 0X3",7511-Transport truck drivers,6
British Columbia,    High Wage,MKN Foods Ltd.,"Maple Ridge, BC V2X 2T9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Mobilyf Cellcare Ltd.,"Surrey, BC V3R 5T9",6211-Retail sales supervisors,1
British Columbia,    High Wage,Moby Dick Restaurants Ltd,"White Rock, BC V4B 1C9",6322-Cooks,3
British Columbia,    High Wage,Modern Professional Painting Ltd.,"Surrey, BC V3R 7T3",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,MOME MASONRY LTD.,"Surrey, BC V3W 5V2",7282-Concrete finishers,4
British Columbia,    High Wage,Money Money Payday Loans Ltd,"Maple Ridge, BC V2X 6B4",1241-Administrative assistants,1
British Columbia,    High Wage,Morning Star Electrical Ltd.,"Surrey, BC V3X 0C4",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,Mortise Construction Ltd.,"Surrey, BC V3V 4B9",1241-Administrative assistants,1
British Columbia,    High Wage,Mortise Construction Ltd.,"Surrey, BC V3V 4B9",7521-Heavy equipment operators (except crane),2
British Columbia,    High Wage,Mr Power Electrical & Construction Ltd,"Surrey, BC V3X 0E8",7241-Electricians (except industrial and power system),2
British Columbia,    High Wage,Mr. Black Entertainment Ltd,"Richmond, BC V6X 4J7",6322-Cooks,1
British Columbia,    High Wage,Mr. Sushi Lonsdale Inc.,"North Vancouver, BC V7M 2E7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,MSA 24/7 Towing Ltd,"Abbotsford, BC V2T 6J6",7312-Heavy-duty equipment mechanics,1
British Columbia,    High Wage,Mumbai Local Restaurants Ltd.,"Vancouver, BC V6E 1N1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Mundi North Enterprises ltd.,"Prince George, BC V2L 2L3",0632-Accommodation service managers,1
British Columbia,    High Wage,Must' Art Ltd.,"Coquitlam, BC V3E 2W3",7294-Painters and decorators (except interior decorators),1
British Columbia,    High Wage,MX Glass & Mirror Manufacturing Ltd.,"Burnaby, BC V3N 4A3",7292-Glaziers,1
British Columbia,    High Wage,My Chairs Inc.,"New Westminster, BC V3M  6B","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,N.J. Building Maintenance Ltd.,"Vancouver, BC V5S 4J3",6315-Cleaning supervisors,1
British Columbia,    High Wage,N.S. MACHINING & FABRICATION CO. LTD.,"Surrey, BC V3V 3S1",7237-Welders and related machine operators,2
British Columbia,    High Wage,NAI Interactive Ltd.,"VANCOUVER, BC V6E 4V2","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,Nasco Products Inc.,"Richmond, BC V6X 2C3",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Natt Enterprises Ltd,"Surrey, BC V3V 4S4",7511-Transport truck drivers,14
British Columbia,    High Wage,Natt Freightways Inc,"Surrey, BC V3V 4S4",7511-Transport truck drivers,10
British Columbia,    High Wage,Neelkanth Home Decor Inc.,"New Westminster, BC V3M 6B9","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Nehru Accounting Associates Inc.,"surrey, BC V3W 3H2",1241-Administrative assistants,1
British Columbia,    High Wage,Nesbou Development Ltd,"West Vancouver, BC V6C 3R1","7372-Drillers and blasters - surface mining, quarrying and construction",2
British Columbia,    High Wage,New Generation Concrete LTD,"Burnaby, BC V5G 1N8",7295-Floor covering installers,3
British Columbia,    High Wage,New Mode Framing Ltd.,"Surrey, BC V3V 5X9",7271-Carpenters,1
British Columbia,    High Wage,New Vision Carpentry & Concrete Ltd.,"Burnaby, BC V5H 0E6",7271-Carpenters,1
British Columbia,    High Wage,New World Enterprise Inc.,"Burnaby, BC V5J 5H7",7271-Carpenters,1
British Columbia,    High Wage,New World Roofing Ltd.,"Surrey, BC V4P 2H2",7291-Roofers and shinglers,2
British Columbia,    High Wage,New York Painting and coating ltd.,"Surrey, BC V3S 2B9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",3
British Columbia,    High Wage,New York Painting and coating ltd.,"Surrey, BC V3S 2B9",7294-Painters and decorators (except interior decorators),15
British Columbia,    High Wage,Newton Pizza House Ltd,"Surrey, BC V3W 4C9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,NEWTON SWEETSHOP & RESTAURANT LTD.,"SURREY, BC V3W 2P2",6311-Food service supervisors,1
British Columbia,    High Wage,Newville Drywall Ltd.,"Surrey, BC V3V 1V5",7271-Carpenters,2
British Columbia,    High Wage,Nig Creek Farms Ltd.,"Fort St. John, BC V0C 1H0",7333-Electrical mechanics,1
British Columbia,    High Wage,Nig Creek Farms Ltd.,"Fort St. John, BC V0C 1H0",7611-Construction trades helpers and labourers,1
British Columbia,    High Wage,Nikolai Manufacturing Inc.,"New Westminster, BC V3M 6L5",7272-Cabinetmakers,1
British Columbia,    High Wage,Ninja Brew Hops Ltd.,"White Rock, BC V4B 1V7",0601-Corporate sales managers,1
British Columbia,    High Wage,Noh Design & Construction Ltd.,"Surrey, BC V4N 6K3",7271-Carpenters,1
British Columbia,    High Wage,NOOR PAINTING LTD.,"SURREY, BC V3W 2K9","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
British Columbia,    High Wage,Nor west architectural millwork Ltd.,"North Vancouver, BC V7H 1T9",7272-Cabinetmakers,2
British Columbia,    High Wage,Nordel Tire Ltd,"DELTA, BC V4C 6R6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",3
British Columbia,    High Wage,Nordic Shore Construction Inc.,"NORTH VANCOUVER, BC V7P 1V7",7242-Industrial electricians,1
British Columbia,    High Wage,Nordic Shore Construction Inc.,"NORTH VANCOUVER, BC V7P 1V7","7302-Contractors and supervisors, heavy equipment operator crews",1
British Columbia,    High Wage,North Bluff Design Ltd,"Delta, BC V4G 1E2",7233-Sheet metal workers,1
British Columbia,    High Wage,North Crown Cleaning Services Ltd.,"Richmond, BC V7A 5H5",6315-Cleaning supervisors,2
British Columbia,    High Wage,North Delta Transport Ltd,"Chilliwack, BC V2R 5L1",1221-Administrative officers,1
British Columbia,    High Wage,Northern Comfort Solutions Ltd,"Surrey, BC V3W 4T6",7233-Sheet metal workers,1
British Columbia,    High Wage,Northern Comfort Solutions Ltd,"Surrey, BC V3W 4T6",7313-Refrigeration and air conditioning mechanics,1
British Columbia,    High Wage,Northern Lights Transport Ltd.,"Surrey, BC V3W 2V3",7511-Transport truck drivers,5
British Columbia,    High Wage,NorthStar Communications Canada Corp,"Vancouver, BC V6C 1Z7",1112-Financial and investment analysts,1
British Columbia,    High Wage,NORTHWEST FREIGHTWAYS LTD,"SURREY, BC V3V 3Y5",1221-Administrative officers,1
British Columbia,    High Wage,Nova Pole International Inc.,"Surrey, BC V3Z 2A1","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,NRGBC Concrete Specialists Ltd.,"Kelowna, BC V1W 3S9",7282-Concrete finishers,4
British Columbia,    High Wage,NST Construciton Ltd,"SURREY, BC V3X 3S5",7271-Carpenters,1
British Columbia,    High Wage,NUVO Music School Inc.,"Surrey, BC V3Z 0M7","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,Ocalink Technologies Inc.,"Vancouver, BC V7X 1L2","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Ocean Wave Drywall Ltd.,"Surrey, BC V4N 3G7","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,OCTOBER STUDIO LTD.,"RICHMOND, BC V6X 2T1",5122-Editors,1
British Columbia,    High Wage,Olive Technologies Inc.,"Vancouer, BC V6Z 2R4",2175-Web designers and developers,1
