"Employers Who Were Issued a Positive Labour Market Impact Assessment (LMIA) by Program Stream, National Occupational Classification (NOC) 2011 and Business Location, January to March 2021",b,c,d,e,f
British Columbia,    High Wage,Infisol Technical Services Ltd.,"Surrey, BC V3T 1B7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Innoprocon Consulting Inc.,"Surrey, BC V3W 1A4",1221-Administrative officers,1
British Columbia,    High Wage,INTERMOUNTAIN TRUCKING LTD,"Surrey, BC V4N 0J1",7511-Transport truck drivers,10
British Columbia,    High Wage,ion drywall ltd,"surrey, BC V3S 3C7","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,IoT Pay Technologies Inc.,"Burnaby, BC V5J 5G4",6221-Technical sales specialists - wholesale trade,1
British Columbia,    High Wage,Ironroc Drywall Ltd,"Surrey, BC V3S 7B4","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Isidore Landscapes Inc,"Richmond, BC V6V 1M3",2225-Landscape and horticulture technicians and specialists,1
British Columbia,    High Wage,iTop Education Group Inc.,"Vernon, BC V1T 1M1","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,J & C Solutions Inc.,"COQUITLAM, BC V3K 3P3",5224-Broadcast technicians,1
British Columbia,    High Wage,J&R Dhaliwal Construction Ltd.,"Surrey, BC V3S 5K2",7271-Carpenters,2
British Columbia,    High Wage,J.SUN FOOD CORPORATION,"Surrey, BC V3S 6K7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Jaap Holding Ltd.,"Surrey, BC V3R 7C1",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,JAB Contracting Ltd.,"Vancouver, BC V5X 3T3",7611-Construction trades helpers and labourers,8
British Columbia,    High Wage,Jacobsen Enterprises Ltd,"100 Mile House, BC V0K 2E0",0632-Accommodation service managers,1
British Columbia,    High Wage,JAGGED EDGE ENTERPRISES LTD,"ABBOTSFORD, BC V2T 5S4",7511-Transport truck drivers,6
British Columbia,    High Wage,Jambo Grill and Goodmorning Paan Ltd,"Vancouver, BC V5R 5K3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,"Japan Oil, Gas and Metals National Corporation","Vancouver, BC V6C 3A6","5125-Translators, terminologists and interpreters",1
British Columbia,    High Wage,Jas Mann Roofing and Waterproofing Inc,"surrey, BC V4N 1B7",7291-Roofers and shinglers,1
British Columbia,    High Wage,Jasper the Yoga Ninja Inc,"White Rock, BC V4B 3Z2",1241-Administrative assistants,1
British Columbia,    High Wage,Jaura Creations Ltd,"Surrey, BC V3W 4N8",5134-Dancers,1
British Columbia,    High Wage,JAY KALI CONSTRUCTION LTD,"SURREY, BC V3W 2Y8",7271-Carpenters,1
British Columbia,    High Wage,Jesse J Contracting Ltd.,"Kelowna, BC V1W 3B2",7271-Carpenters,1
British Columbia,    High Wage,Jetline Contracting Ltd.,"Vancouver, BC V5Y 1P1","7284-Plasterers, drywall installers and finishers and lathers",2
British Columbia,    High Wage,JG Pacific Construction,"Burnaby, BC V5H 1R2",7271-Carpenters,10
British Columbia,    High Wage,JIALAI INTERNATIONAL CONSULTATION SERVICE INC.,"Richmond, BC V6X 4E4",1122-Professional occupations in business management consulting,1
British Columbia,    High Wage,JJ SPA PLUS FAMILY SPA LTD,"Coquitlam, BC V3C 2M2",3232-Practitioners of natural healing,1
British Columbia,    High Wage,jjj foods ltd,"port coquitlam, BC V3B 7Z1",6311-Food service supervisors,3
British Columbia,    High Wage,JJROOFING SERVICES LTD,"Surrey, BC V3T 4N8",7291-Roofers and shinglers,1
British Columbia,    High Wage,JK World Class Auto Care Ltd.,"Vancouver, BC V6G 3J6",6315-Cleaning supervisors,1
British Columbia,    High Wage,JMG CARRIER LTD,"Surrey, BC V3S 0L2",7511-Transport truck drivers,16
British Columbia,    High Wage,JNJ Education Inc.,"Langley, BC V2Y 1R2",1221-Administrative officers,1
British Columbia,    High Wage,JOH ENTERPRISES LTD.,"Surrey, BC V4A 2H9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Johal Drywall Ltd,"Delta, BC V4C  6C","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Jonathan Field Company Ltd.,"Pinantan Lake, BC V0E 3E1","5131-Producers, directors, choreographers and related occupations",1
British Columbia,    High Wage,JP Song Holdings Ltd,"Prince Rupert, BC V8J 1M3",6321-Chefs,1
British Columbia,    High Wage,JRT NURSERIES INC.,"ALDERGROVE, BC V4W 2R1",1241-Administrative assistants,1
British Columbia,    High Wage,JSS LANDSCAPING LTD.,"VANCOUVER, BC V5X 3Z5",2225-Landscape and horticulture technicians and specialists,1
British Columbia,    High Wage,JUMBO PIZZA(2010) INC,"SURREY, BC V3S 4H3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Just Order Enterprises Corp,"Burnaby, BC V5J 5J8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,JY SHINWOO CONSTRUCTION LTD.,"Victoria, BC V9C 0G9",7283-Tilesetters,3
British Columbia,    High Wage,JYP CONTRACTING LTD.,"Surrey, BC V3R 0W8",7271-Carpenters,1
British Columbia,    High Wage,K&K Canada Consulting Inc.,"Burnaby, BC V3N 4R7",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Kairise Restaurant Ltd,"Nanaimo, BC V9R  5G",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Kalan Constructions Ltd.,"Surrey, BC V3X 1X2",7271-Carpenters,2
British Columbia,    High Wage,Kans Exteriors Ltd,"Delta, BC V4C 6N1",7271-Carpenters,1
British Columbia,    High Wage,Kasai Teppanyaki Steak & Sushi House Ltd,"Kelowna, BC V1Y 6G3",6321-Chefs,1
British Columbia,    High Wage,Kelowna International Hostel Inc,"Kelowna, BC V1Y 1T5",0632-Accommodation service managers,1
British Columbia,    High Wage,KEYPLAN Measuring Inc.,"Surrey, BC V3R 4G8",1221-Administrative officers,1
British Columbia,    High Wage,Key-West Asphalt (333) Ltd.,"Abbotsford, BC V2T 6L5","7302-Contractors and supervisors, heavy equipment operator crews",1
British Columbia,    High Wage,KHAKH ENTERPRISES LTD,"SURREY, BC V3S 2P4",2225-Landscape and horticulture technicians and specialists,2
British Columbia,    High Wage,Kilslaay Restaurant Group Corp,"Vancouver, BC V6T 1Z2",0631-Restaurant and food service managers,1
British Columbia,    High Wage,KingK Transport Ltd.,"Surrey, BC V3W 0Z4",7511-Transport truck drivers,2
British Columbia,    High Wage,KIREI Cleaning & Building Maintenance Ltd.,"Langley, BC V2Y 3C1",6315-Cleaning supervisors,2
British Columbia,    High Wage,KJN Construction Ltd.,"Surrey, BC V3R 1A3",7282-Concrete finishers,1
British Columbia,    High Wage,Knights Insulation Ltd,"Burnaby, BC V5J 1L5",7293-Insulators,1
British Columbia,    High Wage,KOMO ROOFING AND CONTRACTING SERVICES INC,"Burnaby, BC V5G 1W7",7291-Roofers and shinglers,2
British Columbia,    High Wage,Kooner Trucking Ltd,"Surrey, BC V3V 8A1",7511-Transport truck drivers,6
British Columbia,    High Wage,KPS Accounting & Tax Services Ltd,"Surrey, BC V3X 1G1",1221-Administrative officers,1
British Columbia,    High Wage,KPS DRYWALL LTD.,"ABBOTSFORD, BC V2T 5E9","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,KRISHNAS' DOSA GRILL LTD.,"SURREY, BC V3V 4B4",6311-Food service supervisors,1
British Columbia,    High Wage,Krishnas Dosa Palace Inc.,"Street, BC V3W 3N1",6322-Cooks,1
British Columbia,    High Wage,Kunal Bharatendu Personal Real Estate Corporation,"Surrey, BC V3W 4E9",1241-Administrative assistants,1
British Columbia,    High Wage,Kush Construction Ltd.,"Mission, BC V4S 1A2",7271-Carpenters,2
British Columbia,    High Wage,Labinoti Construction Ltd,"North Vancouver, BC V7M 1R5",7271-Carpenters,3
British Columbia,    High Wage,LACA BIOTECH INC.,"Richmond, BC V6V 2L9","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,LAKHAN CONSTRUCTION LTD,"SURREY, BC V3V 6R1",7271-Carpenters,1
British Columbia,    High Wage,Lally Trucking LTD.,"prince George, BC V2N 4Y3",7511-Transport truck drivers,5
British Columbia,    High Wage,Lane Construction Services LTD,"Vancouver, BC V5S 1S1",7271-Carpenters,8
British Columbia,    High Wage,Lanters Cafe Inc.,"Squamish,, BC V8B 0A3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Lanz Mechanical Ltd.,"Vancouver, BC V5W 1K6",7312-Heavy-duty equipment mechanics,1
British Columbia,    High Wage,Las Margaritas Restaurant 4th Ave Ltd.,"Vancouver, BC V6J 1M7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Lashfabulous! Studio Inc.,"West Vancouver, BC V7V 1J3","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Lekker Food Distributors Ltd.,"Victoria, BC V9B 5Z3","9213-Supervisors, food, beverage and associated products processing",1
British Columbia,    High Wage,Lex Moulding And Tile Ltd.,"Surrey, BC V3V 1B5",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Libra Envelope Investment Ltd.,"Port Coquitlam, BC V3C 2M8",7291-Roofers and shinglers,1
British Columbia,    High Wage,Lightbox Enterprises Ltd.,"Vancouver, BC V6C 2E8",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Linos Construction Ltd.,"Vancouver, BC V6G 1G8",7271-Carpenters,2
British Columbia,    High Wage,Little Hero Kid's Champ Ltd.,"Burnaby, BC V3J 7T9","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,LODESTAR TRANSPORT INC,"Surrey, BC V4N 2B3",7511-Transport truck drivers,5
British Columbia,    High Wage,LOGIN EDUCATION INC.,"Burnaby, BC V5C 2K5",1221-Administrative officers,1
British Columbia,    High Wage,Logos Holdings Ltd,"Vancouver, BC V6E 1C1",0132-Postal and courier services managers,1
British Columbia,    High Wage,Lotus Desert Enterprises Ltd,"Merritt, BC V1K 1B8",1221-Administrative officers,1
British Columbia,    High Wage,Lougheed Wasabi Sushi & Grill Ltd.,"Maple Ridge, BC V2X 2S1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Lower Mainland Tax & Accounting Services Inc,"Surrey, BC V3W 1A4",1221-Administrative officers,1
British Columbia,    High Wage,LUCKY TILES LTD.,"SURREY, BC V3R 1Z9",7283-Tilesetters,2
British Columbia,    High Wage,Ludu & Walia Diners Ltd DBA Barcelos Flame Grilled Chicken,"Surrey, BC V3R 8X7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,LULULEMON ATHLETICA CANADA INC.,"Vancouver, BC V6J 1C7",0113-Purchasing managers,1
British Columbia,    High Wage,Luso Concrete (2007) Ltd,"Maple Ridge, BC V2X 9J8",7282-Concrete finishers,1
British Columbia,    High Wage,M & M Cabinets and Installation Ltd,"SURREY, BC V3W 2Y8",7271-Carpenters,1
British Columbia,    High Wage,M & R Construction Ltd.,"Surrey, BC V3W 1C6",7271-Carpenters,2
British Columbia,    High Wage,M & S Crepe House Ltd.,"Burnaby, BC V5H 2C3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,MA ZI LU FOOD LTD.,"Vancouver, BC V6M 4L3",6322-Cooks,2
British Columbia,    High Wage,MAC Labour LTD,"New Westminster, BC V3L 0C3",7282-Concrete finishers,6
British Columbia,    High Wage,MACHI SUSHI LTD,"VICTORIA, BC V8R 5J1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Madras spice ltd,"Vancouver, BC V5W 3A1",6322-Cooks,1
British Columbia,    High Wage,Magic Touch Cleaners Ltd.,"Abbotsford, BC V2T 5B8",6315-Cleaning supervisors,2
British Columbia,    High Wage,mahek restaurant and Lounge,"Surrey, BC V3V 4B9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,MAHIL DRYWALL LTD.,"Surrey, BC V3S 8S4",1221-Administrative officers,1
British Columbia,    High Wage,Makkar and Associates Accountant Ltd,"Vancouver, BC V5X 3T6",1241-Administrative assistants,1
British Columbia,    High Wage,Mako Wood Furniture Inc.,"Surrey, BC V3W 2V9",7271-Carpenters,4
British Columbia,    High Wage,Mako Wood Furniture Inc.,"Surrey, BC V3W 2V9",7511-Transport truck drivers,2
British Columbia,    High Wage,Mandeep Singh Brar & Company Ltd.,"Abbotsford, BC V2S 2A6",1221-Administrative officers,1
British Columbia,    High Wage,Mangez Mangez Cafe Ltd.,"VANCOUVER, BC V6E 4A6",6322-Cooks,1
British Columbia,    High Wage,MANI INSULATION LTD,"Vancouver, BC V5X 3X4",7441-Residential and commercial installers and servicers,1
British Columbia,    High Wage,Manj Drywall Services Ltd.,"Surrey, BC V4N 0S5","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Manjessica Construction ltd.,"surrey, BC V3W 0Y3",7271-Carpenters,3
British Columbia,    High Wage,Manny Construction Ltd,"Surrey, BC V3X 1E3",7271-Carpenters,2
British Columbia,    High Wage,Manpreet Framing Ltd,"Vancouver, BC V5R 4R5",7271-Carpenters,1
British Columbia,    High Wage,Maple Leaf 1st Enterprises Ltd.,"Osoyoos, BC V0H 1V2",0621-Retail and wholesale trade managers,2
British Columbia,    High Wage,Maple Leaf Auto Service Ltd,"Richmond, BC V6V 1J4","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Maple Leaf Auto Service Ltd,"Richmond, BC V6V 1J4",1225-Purchasing agents and officers,1
British Columbia,    High Wage,Maple Leaf Kitchen Cabinets Ltd,"Surrey, BC V3W 0A6",7271-Carpenters,2
British Columbia,    High Wage,Maple World Academy Institute Ltd.,"Vancouver, BC V6C 2T8",1221-Administrative officers,1
British Columbia,    High Wage,Marsal Construction Services,"New Westminster, BC V3M 2Y7",7282-Concrete finishers,4
British Columbia,    High Wage,Masala India Bistro Ltd.,"Langley, BC V3A 4E8",6322-Cooks,2
British Columbia,    High Wage,Master Dental Solution Ltd.,"Vancouver, BC V6A 0H1",0114-Other administrative services managers,1
British Columbia,    High Wage,Mathison Academy Inc,"Vancouver, BC V6M 2A7",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Matic Painting Ltd.,"Coquitlam, BC V3K 6G7",0712-Home building and renovation managers,1
British Columbia,    High Wage,Matrix Auto Repair Ltd.,"New Westminister, BC V3L 3E7","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",2
British Columbia,    High Wage,Maxim's Bakery Ltd.,"Vancouver, BC V6A 1X6",0113-Purchasing managers,1
British Columbia,    High Wage,Maxim's Bakery Ltd.,"Vancouver, BC V6A 1X6",1121-Human resources professionals,1
British Columbia,    High Wage,MDE ENTERPRISES LTD,"Burnaby, BC V5C 3T4",1241-Administrative assistants,1
British Columbia,    High Wage,Means Holdings Ltd.,"Vancouver, BC V5Z 1K7",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Mega Japanese Restaurant Ltd.,"Richmond, BC V7E 2Y4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Metro Van Custom Homes Inc.,"Richmond, BC V6W 0A8","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
British Columbia,    High Wage,Metropolis Holdings (2012) Ltd,"Surrey, BC V4P 2J4",6315-Cleaning supervisors,1
British Columbia,    High Wage,METROPOLITAN TRANSPORT LTD.,"ABBOTSFORD, BC V2T 5H4",7511-Transport truck drivers,2
British Columbia,    High Wage,micob enterprises ltd.,"Mcleod lake, BC V0J 2G0",1221-Administrative officers,1
British Columbia,    High Wage,Mike and Sons Holdings Ltd,"Pitt Meadows, BC V3Y 2J4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Mile High Concrete Ltd.,"Surrey, BC V3S 5G6",7282-Concrete finishers,2
British Columbia,    High Wage,Mimora Holding Inc.,"Vancouver, BC V6G 1C3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Mindbeast Trading Inc.,"Vancouver, BC V6C 2V6","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,MING YUAN LIGHTING LTD.,"Richmond, BC V6V 2H7","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,MIRAK FOODS LTD,"Vancouver, BC V6E 1C6",6322-Cooks,1
British Columbia,    High Wage,Mitchell Island Terminals Ltd,"Delta, BC V4G 1G8",1221-Administrative officers,1
British Columbia,    High Wage,MJ Drywall Ltd.,"Surrey, BC V3X 1L3",7271-Carpenters,1
British Columbia,    High Wage,Modern Class Construction Ltd.,"Surrey, BC V3V 1E4",7271-Carpenters,3
British Columbia,    High Wage,Modern Time Aluminum 2009 Ltd,"surrey, BC V3W 1E6",7237-Welders and related machine operators,2
British Columbia,    High Wage,MOGA TRUCK REPAIR LTD.,"Surrey, BC V3V 3X8",7612-Other trades helpers and labourers,1
British Columbia,    High Wage,Money's Beauty Hair Salon Ltd.,"Burnaby, BC V3N 3M4","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,Mormon Hills School Society,"Creston, BC V0B 1G2",4032-Elementary school and kindergarten teachers,1
British Columbia,    High Wage,Mortise Construction Ltd.,"Surrey, BC V3V 4B9",6315-Cleaning supervisors,1
British Columbia,    High Wage,Movement Food Inc.,"Vancouver, BC V6A 2P3","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,Mr Power Electrical & Construction Ltd,"Surrey, BC V3X 0E8",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Mr.Shims Sushi Restaurant,"Prince George, BC V2K 3A4",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Mundi 910 Victoria Enterprises Ltd,"Prince George, BC V2L 2K8",0632-Accommodation service managers,1
British Columbia,    High Wage,N BHULLAR TRANSPORT LTD.,"Chilliwack, BC V2P 7Z5",7511-Transport truck drivers,1
British Columbia,    High Wage,Nara Auto Sales Ltd,"Coquitlam, BC V3K 3V8","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,Nationwide Natural Foods (2000) Inc,"Delta, BC V4G 1H8","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,Nautical Immigration Solutions Inc.,"Surrey, BC V3W 3A8",1221-Administrative officers,1
British Columbia,    High Wage,NAVIGATOR ENTERPRISES LTD,"SURREY, BC V3V 5G2",7511-Transport truck drivers,10
British Columbia,    High Wage,Neet Janitorial Services & Buildings Maintenance,"SURREY, BC V3W 2V7","0651-Managers in customer and personal services, n.e.c.",1
British Columbia,    High Wage,NELSON HOTEL LTD.,"Nelson, BC V1L 4G1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Neptune Homes Ltd.,"Surrey, BC V3V 3Z7",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,Neptune Homes Ltd.,"Surrey, BC V3V 3Z7",7291-Roofers and shinglers,1
British Columbia,    High Wage,Net All Road Holding Ltd.,"Richmond, BC V6X 3M1","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,NEW ADVANCE SIDINGS & SUNDECKS LTD.,"SURREY, BC V3V 5B7",7271-Carpenters,2
British Columbia,    High Wage,New Eurowest Cabinets Ltd.,"Surrey, BC V3W 1H8",7271-Carpenters,2
British Columbia,    High Wage,New Link College Inc.,"Burnaby, BC V5H 3Z2","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,New Mode Framing Ltd.,"Surrey, BC V3V 5X9",0711-Construction managers,1
British Columbia,    High Wage,New Punjab Sweets and Restaurant Ltd.,"Kelowna, BC V1X 3K5",0631-Restaurant and food service managers,1
British Columbia,    High Wage,New Remax Framing Ltd.,"Abbotsford, BC V4X 1H5",7271-Carpenters,2
British Columbia,    High Wage,New Style Tiles Ltd.,"Surrey, BC V3S 7Y7",7283-Tilesetters,2
British Columbia,    High Wage,New Way Railing & Metal Works Ltd.,"Surrey, BC V3W 4G1",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,New Way Railing & Metal Works Ltd.,"Surrey, BC V3W 4G1",7233-Sheet metal workers,1
British Columbia,    High Wage,New World Enterprise Inc.,"Burnaby, BC V5J 5H7",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Newstart Landscaping and Contracting Ltd,"Oliver, BC V0H 1T6","8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",2
British Columbia,    High Wage,Newton AC Ltd.,"Surrey, BC V3W 1X6",7237-Welders and related machine operators,1
British Columbia,    High Wage,NEWTON SWEETSHOP & RESTAURANT LTD.,"SURREY, BC V3W 2P2",6322-Cooks,1
British Columbia,    High Wage,NEWTON TOOL REPAIR LTD.,"SURREY, BC V3W 0N6",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Newville Drywall Ltd.,"Surrey, BC V3V 1V5",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Newville Drywall Ltd.,"Surrey, BC V3V 1V5","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
British Columbia,    High Wage,NG Fung Enterprises (1999) Ltd.,"Richmond, BC V6X 3Z9","1123-Professional occupations in advertising, marketing and public relations",1
British Columbia,    High Wage,NIJJAR TRUCKING LTD.,"Surrey, BC V3R 2S5",7511-Transport truck drivers,10
British Columbia,    High Wage,Ninja Brew Hops Ltd.,"White Rock, BC V4B 1V7",1241-Administrative assistants,1
British Columbia,    High Wage,NM Freight Ltd,"Burnaby, BC V5H 4B8",7511-Transport truck drivers,6
British Columbia,    High Wage,NOOR PAINTING LTD.,"SURREY, BC V3W 2V7",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,Norcoast Developments Ltd.,"ABBOTSFORD, BC V2S 8A3",1221-Administrative officers,1
British Columbia,    High Wage,Norewest Pumping Inc.,"Kamloops, BC V2C 6X2",7611-Construction trades helpers and labourers,4
British Columbia,    High Wage,North 49 Trucklines Inc.,"Surrey, BC V3V 2W7",7511-Transport truck drivers,2
British Columbia,    High Wage,North America Vocational Education Group Inc,"Vancouver, BC V6E 2S1",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,North American Forest Products Ltd,"Abbotsford, BC V2T 6B1",7511-Transport truck drivers,2
British Columbia,    High Wage,North Crown Cleaning Services Ltd.,"Richmond, BC V7A 5H5",1311-Accounting technicians and bookkeepers,1
British Columbia,    High Wage,North Delta Transport Ltd,"Chilliwack, BC V2R 5L1",7511-Transport truck drivers,3
British Columbia,    High Wage,North East Tiger Holdings Ltd.,"Langley, BC V3A 7E9",0631-Restaurant and food service managers,1
British Columbia,    High Wage,NORTH POLE CARRIER INC.,"Abbotsford, BC V2T 6X2",7511-Transport truck drivers,1
British Columbia,    High Wage,NORTH SHORE PACIFIC PROPERTY GROUP INC.,"North Vancouver, BC V7P 3R9","0124-Advertising, marketing and public relations managers",1
British Columbia,    High Wage,Northcity Drywall Ltd.,"Surrey, BC V3W 5Z3","7205-Contractors and supervisors, other construction trades, installers, repairers and servicers",1
British Columbia,    High Wage,Northcity Drywall Ltd.,"Surrey, BC V3W 5Z3","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Northern Health Authority,"Prince George, BC V2L 5B8",3112-General practitioners and family physicians,2
British Columbia,    High Wage,NORTHERN L.E.D LTD.,"Richmond, BC V7A 4X6",7241-Electricians (except industrial and power system),1
British Columbia,    High Wage,NORTHWEST TRUCK LINES INC.,"SURREY, BC V3V 3Y5",1241-Administrative assistants,1
British Columbia,    High Wage,Northwind Xpress Ltd,"Surrey, BC V3V 7X4",7511-Transport truck drivers,3
British Columbia,    High Wage,Nova Drywall Ltd,"Coquitlam, BC V3K 6T1","7284-Plasterers, drywall installers and finishers and lathers",7
British Columbia,    High Wage,NOVAX TILE LTD,"Coquitlam, BC V3B 0C8",7283-Tilesetters,2
British Columbia,    High Wage,O Canada Drywall Ltd,"Surrey, BC V3W 5N2","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,O.G Ceiling Ltd.,"Surrey, BC V3W 6C4","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Ocean Gate Fishery LTD.,"Richmond, BC V7A 4V5","9213-Supervisors, food, beverage and associated products processing",1
British Columbia,    High Wage,OCK TOUR LTD.,"Coquitlam, BC V3K 3V8",2175-Web designers and developers,1
British Columbia,    High Wage,OK TOUR COMPANY LTD,"Burnaby, BC V3J 1N3","6313-Accommodation, travel, tourism and related services supervisors",1
British Columbia,    High Wage,Old Caboose Restaurant LTD,"clearwater, BC V0E 1N1",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Old Caboose Restaurant LTD,"clearwater, BC V0E 1N1",6322-Cooks,1
British Columbia,    High Wage,Oli Consulting Ltd.,"Burnaby, BC V5H 2A9",0125-Other business services managers,1
British Columbia,    High Wage,Omega Custom Furniture and Design Inc.,"North Vancouver, BC V7J 1A5",7272-Cabinetmakers,1
British Columbia,    High Wage,Omni Drywall Ltd,"surrey, BC V3W 1E6",1221-Administrative officers,1
British Columbia,    High Wage,One Paramount Construction Ltd,"Coquitlam, BC V3B 0K9",7271-Carpenters,4
British Columbia,    High Wage,ONIKON Creative Inc.,"Surrey, BC V3R 4G8",5241-Graphic designers and illustrators,1
British Columbia,    High Wage,Open Windows Inc.,"Richmond, BC V6V 1V3",2132-Mechanical engineers,1
British Columbia,    High Wage,OPSGURU CANADA INC.,"Vancouver, BC V6H 4G8","0013-Senior managers - financial, communications and other business services",1
British Columbia,    High Wage,Orbit Home Automation Ltd.,"Surrey, BC V3W 7B4",2242-Electronic service technicians (household and business equipment),1
British Columbia,    High Wage,Oro Steel & Drywall Ltd.,"Surrey, BC V3W 7W5",7271-Carpenters,2
British Columbia,    High Wage,Oro Steel & Drywall Ltd.,"Surrey, BC V3W 7W5",7611-Construction trades helpers and labourers,3
British Columbia,    High Wage,OTT TRANSPORT LTD.,"Surrey, BC V3V 1V1",7511-Transport truck drivers,2
British Columbia,    High Wage,Ott Transportation Services Inc.,"Surrey, BC V3S 0Y9",7511-Transport truck drivers,10
British Columbia,    High Wage,Ottomatic Installations Ltd.,"Burnaby, BC V5B 4X8",7271-Carpenters,1
British Columbia,    High Wage,P.R.G.CONSTRUCTION LTD.,"SURREY, BC V3W 5X6",7271-Carpenters,1
British Columbia,    High Wage,P555 JR Construction Ltd,"Abbotsford, BC V2T 1E5",7271-Carpenters,2
British Columbia,    High Wage,Pacific Beer Equipment LTD,"New Westminster, BC V3M 4K3",2175-Web designers and developers,1
British Columbia,    High Wage,Pacific Concrete Cutters Ltd,"Burnaby, BC V5A 2Z6",7271-Carpenters,1
British Columbia,    High Wage,Pacific Placing and Finishing Ltd,"Burnaby, BC V3N 2M5",7282-Concrete finishers,1
British Columbia,    High Wage,Pacific Stucco Ltd,"Surrey, BC V3R 3S4","7284-Plasterers, drywall installers and finishers and lathers",1
British Columbia,    High Wage,Pak National Foods Ltd,"Richmond, BC V6W 1L5",0621-Retail and wholesale trade managers,1
British Columbia,    High Wage,Pak National Foods Ltd,"Richmond, BC V6W 1L5","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",1
British Columbia,    High Wage,PAMIR PLUMBING SERVICES LTD,"VANCOUVER, BC V6E 3T3","0015-Senior managers - trade, broadcasting and other services, n.e.c.",1
British Columbia,    High Wage,Paragon Rebar & Dampproofing (2010) Ltd.,"Surrey, BC V3S 8Z8",7236-Ironworkers,1
British Columbia,    High Wage,Parmeshar Sweet Shop & Restaurant Ltd.,"Abbotsford, BC V2T 0B1",6322-Cooks,1
British Columbia,    High Wage,Parsable Canada Inc.,"Vancouver, BC V6B 1L1",1111-Financial auditors and accountants,1
British Columbia,    High Wage,PARTH INVESTMENTS INC.,"CRANBROOK, BC V1C 6S3",0631-Restaurant and food service managers,1
British Columbia,    High Wage,Pawan's Indian Kitchen Limited,"North Vancouver, BC V7M 2K3",0631-Restaurant and food service managers,1
